   38 1334    0
                   9.6769013E+00  -1.5257723E+00  -1.1065272E+00
                   9.0272229E+00  -2.9197079E+00  -2.4901883E+00
                   1.0839355E+01  -2.4850350E+00   3.1114905E-01
                   1.0884147E+01  -1.4032349E-01  -2.0555343E+00
                   7.5376559E+00  -1.3545745E-01   2.3468696E-01
                   7.9666104E+00   1.5502481E+00   1.7767374E+00
                   5.1699048E+00  -9.1433258E-01  -3.7428858E-01
                   4.8603072E+00  -2.2126764E+00  -1.7457156E+00
   5.5663000E-02  -8.5632007E+00   1.4889075E+00   4.8393520E+00
   5.0107000E-02  -9.8907880E+00  -9.3252308E-02   4.8393520E+00
   4.2584000E-02  -9.8907880E+00  -2.1586132E+00   4.8393520E+00
   5.6751000E-02  -1.1403831E+01  -1.6222844E+00   1.2637089E+00
   5.3187000E-02  -1.2731418E+01   5.0724214E-01  -3.2366093E-01
   5.2227000E-02  -1.2731418E+01  -1.5581188E+00  -3.2366093E-01
   5.7923000E-02  -1.1403831E+01  -3.1402786E+00  -3.2366093E-01
   5.1393000E-02  -1.2731418E+01   5.0724214E-01  -2.2857578E+00
   5.1435000E-02  -1.2731418E+01  -1.5581188E+00  -2.2857578E+00
   5.5069000E-02  -1.1403831E+01  -3.1402786E+00  -2.2857578E+00
   5.1166000E-02  -1.1403831E+01   5.7140779E-01  -3.8731276E+00
   5.1189000E-02  -1.1403831E+01  -1.6222844E+00  -3.8731276E+00
   5.5868000E-02  -9.3175056E+00  -2.3001726E+00  -3.8731276E+00
   5.1699000E-02  -9.8941517E+00  -5.2543831E-01  -4.4794499E+00
   5.9221000E-02  -9.3120046E+00   1.7989379E+00   4.2492738E+00
   5.6849000E-02  -8.7353585E+00   3.5736722E+00   3.6429533E+00
   5.2840000E-02  -1.0821684E+01   2.8957840E+00   3.6429533E+00
   5.5049000E-02  -1.0821684E+01   7.0209179E-01   3.6429533E+00
   5.3604000E-02  -8.7876983E+00   4.7724236E+00   2.0555835E+00
   5.0865000E-02  -1.0821684E+01   4.4137782E+00   2.0555835E+00
   5.0919000E-02  -1.2149271E+01   2.8316183E+00   2.0555835E+00
   5.2192000E-02  -1.2149271E+01   7.6625743E-01   2.0555835E+00
   5.2079000E-02  -1.0821684E+01   4.4137782E+00   9.3486634E-02
   5.3674000E-02  -1.2149271E+01   2.8316183E+00   9.3486634E-02
   5.1053000E-02  -7.6897561E+00   5.2715683E+00  -1.0981103E+00
   5.1626000E-02  -9.7237419E+00   4.9129229E+00  -1.0981103E+00
   4.9961000E-02  -7.6897561E+00   5.2715683E+00  -3.0602071E+00
   4.9459000E-02  -9.7237419E+00   4.9129229E+00  -3.0602071E+00
   5.2065000E-02  -1.1051329E+01   3.3307630E+00  -3.0602071E+00
