   39 1410    0
                   6.6232137E+00  -4.0042613E+00  -9.5971624E-02
                   4.8917031E+00  -1.9125822E+00  -1.0343264E+00
                   6.0888219E+00   4.6195675E-01   2.2337695E-01
                   7.0975992E+00   1.2451405E-01   2.2968920E+00
                   2.1927436E+00  -2.4549525E+00  -6.8604612E-02
                   2.0335530E-01  -5.0063566E-01  -9.0304336E-01
                  -2.4518722E+00  -1.1988705E+00   9.3652930E-02
                  -4.3894461E+00   7.8922138E-01  -7.3304550E-01
                  -7.1235508E+00   3.6292188E-01   1.2010720E-01
                  -8.6976680E+00   2.5289560E+00  -8.9101714E-01
                  -8.1657498E+00  -2.0800989E+00  -9.2486780E-01
   2.0703100E-01  -7.4495493E+00   7.2737897E+00  -1.1048264E+00
   2.0253600E-01  -9.4835332E+00   6.9151442E+00  -1.1048264E+00
   2.1654000E-01  -7.3972096E+00   6.0750382E+00  -2.6921962E+00
   2.3013200E-01  -6.2660063E+00   4.4827135E+00  -3.9302313E+00
   2.1189700E-01  -8.0546622E+00   5.5153940E+00  -3.9302313E+00
   2.0517000E-01  -1.0088646E+01   5.1567485E+00  -3.9302313E+00
   2.0562700E-01  -1.1416235E+01   3.5745887E+00  -3.9302313E+00
   2.1490900E-01  -1.1416235E+01   1.5092278E+00  -3.9302313E+00
   2.3301100E-01  -6.7129039E+00   2.5419082E+00  -5.5176012E+00
   2.0968100E-01  -8.0023225E+00   4.3166425E+00  -5.5176012E+00
   2.0177100E-01  -1.0088646E+01   3.6387543E+00  -5.5176012E+00
   2.1331900E-01  -1.0088646E+01   1.4450621E+00  -5.5176012E+00
   2.3743900E-01  -8.0023225E+00   7.6717584E-01  -5.5176012E+00
   2.1351800E-01  -8.5789686E+00   2.5419082E+00  -6.1239216E+00
   2.1554700E-01  -1.1667747E+01  -3.3117164E+00   2.1556709E+00
   2.1996100E-01  -1.2995334E+01  -1.1821899E+00   5.6830108E-01
   2.0358000E-01  -1.2995334E+01  -3.2475508E+00   5.6830108E-01
   2.0354300E-01  -1.1667747E+01  -4.8297107E+00   5.6830108E-01
   2.1365500E-01  -1.2995334E+01  -1.1821899E+00  -1.3937976E+00
   2.0032300E-01  -1.2995334E+01  -3.2475508E+00  -1.3937976E+00
   2.0280400E-01  -1.1667747E+01  -4.8297107E+00  -1.3937976E+00
   2.2102500E-01  -1.1667747E+01  -1.1180243E+00  -2.9811675E+00
   2.0807000E-01  -1.1667747E+01  -3.3117164E+00  -2.9811675E+00
   2.5982800E-01  -4.9528471E+00  -2.0678723E+00  -3.9589854E+00
   2.2291400E-01  -1.0809471E+01  -1.0351919E+00  -3.9589854E+00
   2.1145800E-01  -1.0809471E+01  -3.1005528E+00  -3.9589854E+00
   2.1107700E-01  -9.4818835E+00  -4.6827127E+00  -3.9589854E+00
   2.1866400E-01  -7.4478977E+00  -5.0413581E+00  -3.9589854E+00
   2.3572800E-01  -5.6592418E+00  -4.0086776E+00  -3.9589854E+00
   2.3413200E-01  -6.1061393E+00  -2.0678723E+00  -5.5463552E+00
   2.4021100E-01  -7.3955579E+00  -2.9313807E-01  -5.5463552E+00
   2.1929500E-01  -9.4818835E+00  -9.7102625E-01  -5.5463552E+00
